A,B,C,D
a1293,b26,c471,d4168
a3660,b1055,c2509,d3187
a1308,b2878,c3750,d4227
a3730,b3393,c834,d1184
a31,b1516,c1258,d1558
a2099,b1249,c3533,d66
a457,b593,c2805,d2868
a1979,b2377,c1427,d2106
a1231,b2085,c2567,d3059
a2735,b1985,c3674,d3324
a239,b2763,c155,d3887
a324,b1695,c121,d2523
a4792,b2788,c3246,d1467
a1934,b2399,c966,d3313
a4038,b1756,c1795,d4100
a1703,b856,c4579,d1390
a989,b664,c59,d1388
a279,b3208,c3645,d3061
a434,b956,c2992,d3609
a4403,b3222,c1173,d804
a508,b3219,c3179,d109
a110,b1569,c556,d451
a3505,b3119,c4737,d1679
a915,b2792,c1099,d4103
a1686,b1556,c2015,d2261
a909,b1320,c4134,d4154
a1465,b285,c2930,d312
a2725,b2386,c1645,d1657
a2556,b1423,c288,d147
a1038,b3741,c503,d2421
a2705,b1106,c3552,d498
a3640,b3334,c2007,d725
a2570,b1092,c432,d1115
a2276,b3040,c3371,d41
a2956,b836,c3579,d90
a1961,b1555,c452,d469
a952,b2686,c2846,d2189
a4506,b2676,c821,d3232
a1310,b2636,c725,d572
a3906,b3676,c3257,d249
a2704,b3551,c1712,d837
a2395,b3205,c1849,d2508
a1250,b2531,c3312,d2214
a4354,b2567,c4429,d4180
a210,b2297,c2122,d907
a1345,b3104,c3037,d2587
a4882,b2956,c1839,d141
a1863,b1751,c582,d822
a3575,b944,c264,d1811
a3629,b3611,c2336,d6
a2305,b1678,c3404,d3241
a807,b725,c3089,d2845
a3071,b2536,c4758,d3646
a4095,b531,c4659,d3371
a515,b2998,c557,d2923
a1343,b3105,c2560,d2602
a1637,b3326,c2772,d1119
a3569,b2085,c1005,d2930
a2858,b1771,c413,d3715
a613,b113,c2319,d871
a32,b133,c2298,d1812
a1117,b2030,c3926,d307
a4410,b2622,c2948,d3062
a3184,b1617,c33,d4000
a3099,b2817,c1509,d4154
a2486,b2015,c1260,d2541
a2671,b72,c3659,d567
a2828,b3526,c2035,d1772
a948,b1944,c3983,d130
a1251,b1708,c2707,d1051
a4386,b1984,c652,d978
a1287,b1360,c490,d2183
a1521,b2823,c4538,d2575
a2402,b1110,c4504,d378
a1046,b1911,c2981,d3477
a424,b170,c2715,d2288
a348,b863,c858,d3110
a1085,b512,c2997,d4341
a2330,b1022,c3946,d905
a2879,b3362,c929,d369
a3181,b2377,c3130,d1445
a4182,b1129,c1445,d1435
a2737,b3567,c1517,d1875
a3369,b2717,c1981,d435
a2980,b3278,c1765,d1273
a842,b1801,c2497,d1271
a2334,b2478,c1699,d570
a1602,b1562,c4134,d540
a3054,b3156,c3139,d863
a3508,b1137,c381,d2824
a1692,b952,c1646,d1697
a4439,b3027,c1,d4343
a1129,b1992,c2280,d638
a2138,b644,c3691,d2455
a1,b1578,c4130,d175
a305,b3635,c1562,d1075
a1483,b1567,c3139,d2353
a2708,b1521,c1259,d278
a4231,b1520,c2798,d616
a4398,b1062,c985,d3398
a221,b3210,c325,d2408
a466,b2192,c3412,d108
a2742,b3054,c1903,d1316
a3730,b3174,c27,d853
a1370,b2471,c3545,d1758
a511,b280,c679,d2589
a4238,b1738,c373,d4379
a4071,b2631,c1682,d599
a315,b1575,c3893,d3314
a2600,b2913,c1493,d804
a2730,b703,c600,d1854
a2130,b2833,c4496,d956
a3264,b1770,c1043,d4279
a1267,b2681,c1849,d505
a1916,b1089,c225,d621
a862,b3182,c644,d983
a4598,b537,c728,d1607
a3747,b1865,c3886,d2275
a4046,b3463,c1958,d2047
a3753,b3710,c1782,d2531
a699,b452,c2905,d129
a1011,b1491,c1956,d3959
a4029,b298,c2804,d4064
a2354,b1841,c1136,d4034
a2936,b10,c4443,d3184
a1343,b3496,c2545,d90
a1918,b2303,c3829,d533
a1880,b2411,c1966,d3441
a1116,b2692,c1297,d1477
a2236,b280,c2467,d2006
a3680,b2512,c1712,d2759
a447,b1808,c2424,d1016
a2399,b3053,c1089,d1852
a4586,b354,c1888,d4196
a427,b3720,c4696,d3172
a2479,b2183,c1156,d4199
a2954,b3083,c2816,d133
a3483,b1156,c4006,d4387
a4875,b2420,c1132,d1497
a3747,b1733,c560,d2423
a4237,b3151,c141,d1189
a4569,b233,c407,d3007
a1990,b284,c3692,d4017
a1427,b2646,c1767,d957
a16,b2863,c2281,d2699
a1673,b1737,c3504,d3469
a3781,b145,c4059,d3401
a671,b1898,c1880,d2831
a25,b1811,c568,d417
a520,b1143,c3803,d1556
a2076,b538,c2515,d4117
a868,b2519,c3648,d1700
a993,b3426,c608,d3165
a1283,b1910,c2532,d3301
a1226,b63,c2409,d68
a1515,b3640,c4626,d1132
a2111,b2233,c4504,d2958
a4308,b2840,c488,d164
a3971,b974,c1817,d152
a3202,b2976,c3178,d3806
a524,b988,c2017,d3604
a1934,b1061,c2252,d843
a2759,b1405,c2574,d3256
a4533,b2626,c1459,d2927
a1603,b1413,c181,d3297
a4082,b2999,c4144,d283
a477,b767,c1872,d1402
a1414,b1232,c2506,d1866
a84,b675,c1999,d706
a3286,b470,c388,d1687
a1425,b293,c4543,d2265
a4019,b2065,c105,d2450
a4792,b3005,c2432,d3119
a3916,b1189,c3003,d1460
a2059,b1808,c2496,d2135
a1615,b3373,c1656,d3177
a3937,b2846,c2710,d1664
a4902,b2150,c4003,d2384
a4123,b1753,c1342,d2699
a748,b916,c1978,d3257
a1347,b237,c2429,d95
a506,b634,c4302,d2582
a887,b795,c363,d440
a1389,b1144,c3316,d2446
a1462,b727,c2941,d4329
a493,b3322,c2703,d2882
a3257,b3711,c672,d4257
a3978,b3171,c1310,d3709
a2061,b3084,c370,d1305
a1410,b2335,c2376,d3549
a3250,b1981,c105,d4403
a270,b1009,c2784,d1034
a1207,b3357,c753,d4369
a4458,b314,c1979,d1605
a3729,b998,c2376,d821
a3877,b1071,c3819,d2688
a998,b905,c2785,d2079
a2951,b2711,c1721,d3298
a3987,b377,c4489,d3482
a561,b2510,c1895,d2924
a3367,b1545,c3058,d2947
a206,b2572,c3141,d3569
a2954,b1979,c2339,d2405
a2777,b622,c1949,d1781
a714,b2598,c1570,d1129
a4420,b1262,c3725,d1891
a579,b770,c4011,d3401
a2530,b84,c3328,d3494
a518,b1485,c918,d2841
a1588,b1265,c1666,d2554
a3228,b245,c175,d2075
a2198,b233,c3420,d3918
a2995,b2834,c246,d136
a1538,b3657,c121,d747
a1462,b2271,c2708,d3044
a4860,b157,c2317,d4270
a600,b91,c91,d3212
a1736,b1370,c2847,d917
a570,b1005,c1520,d3183
a2818,b2148,c1811,d3191
a2930,b3000,c3538,d3224
a271,b593,c3912,d3202
a2213,b1251,c3982,d3997
a3853,b1081,c3268,d432
a1706,b19,c3243,d3975
a2311,b3719,c1108,d874
a3350,b1112,c693,d1569
a2773,b1509,c1084,d3056
a2042,b3074,c1024,d729
a4277,b1339,c474,d2843
a3881,b2636,c2801,d1815
a76,b3103,c3748,d1702
a109,b1012,c61,d1200
a3098,b3322,c4535,d2518
a3185,b3303,c1386,d1439
a1699,b1471,c529,d815
a3989,b2867,c3514,d2141
a2707,b2898,c4724,d3764
a3554,b1820,c4532,d1759
a3092,b2830,c4614,d1915
a1656,b1894,c854,d4089
a853,b1479,c4141,d1715
a4167,b2779,c2540,d2403
a3690,b3383,c1019,d1410
a641,b2833,c1412,d705
a358,b911,c3285,d1663
a2015,b206,c11,d3047
a1192,b1779,c3342,d2292
a212,b2377,c2180,d1242
a343,b1790,c1125,d2105
a3416,b2637,c3697,d1030
a1796,b2784,c3007,d1902
a1928,b1631,c4008,d470
a3721,b3040,c2304,d3854
a3363,b1126,c2070,d943
a1279,b2346,c258,d3152
a3047,b1826,c851,d1727
a130,b578,c749,d2597
a4485,b558,c3587,d939
a4358,b3135,c4253,d1815
a1481,b3221,c1088,d1889
a2204,b665,c2502,d2987
a1741,b1156,c4385,d4204
a189,b1783,c799,d1803
a3857,b3643,c2854,d2403
a2419,b712,c3582,d2027
a1494,b1473,c2389,d2302
a2726,b2301,c2267,d3365
a2317,b2041,c2815,d3744
a469,b3614,c3832,d3121
a1157,b3558,c2984,d2189
a1716,b3706,c1032,d1948
a1676,b297,c4062,d2230
a4526,b827,c4653,d108
a784,b21,c4008,d34
a972,b3406,c1285,d3295
a545,b1178,c164,d1386
a2998,b3198,c2528,d2754
a3985,b1775,c814,d4123
a3959,b352,c3420,d334
a4187,b444,c930,d4024
a3460,b1938,c2248,d1311
a3628,b2791,c13,d1643
a391,b2225,c4459,d4016
a3336,b3218,c2076,d4232
a3107,b3038,c676,d3229
a4522,b1383,c4138,d3533
a1363,b243,c4390,d574
a2554,b164,c4335,d1732
a3091,b2019,c1221,d3863
a1968,b275,c723,d1136
a2150,b122,c1032,d2515
a4029,b2241,c3685,d1855
a1217,b1924,c1761,d1471
a4575,b2273,c3176,d796
a1902,b3237,c3605,d4403
a1057,b1541,c2975,d2666
a252,b491,c4606,d1915
a3789,b35,c1602,d2776
a246,b504,c4753,d536
a816,b3599,c2631,d4333
a3217,b565,c568,d1441
a2700,b2276,c4444,d665
a4339,b1584,c10,d135
a4385,b2854,c3455,d633
a3541,b742,c2142,d3096
a3568,b1500,c3403,d2227
a911,b3325,c2194,d332
a3859,b342,c2419,d3385
a875,b3694,c2453,d3541
a1610,b3132,c2223,d4203
a4806,b2202,c349,d2993
a4797,b2604,c3478,d1354
a2447,b871,c1756,d3306
a4157,b3329,c4679,d1209
a1722,b2838,c1266,d2176
a4867,b2790,c3931,d1974
a1697,b10,c3053,d1945
a2387,b391,c3843,d1069
a4573,b2729,c1118,d4050
a1223,b2232,c3407,d3549
a277,b1117,c876,d1488
a3034,b2115,c2821,d1083
a4091,b2388,c3460,d538
a2299,b1449,c625,d3301
a2754,b1581,c1439,d1604
a517,b499,c1663,d1866
a463,b2385,c4690,d1890
a3498,b2311,c442,d4378
a3497,b315,c503,d3929
a2127,b1530,c2142,d2938
a4121,b3281,c4050,d2573
a2357,b525,c1215,d3494
a3112,b1668,c1476,d2529
a2167,b1723,c3335,d1124
a3221,b3505,c2790,d832
a2251,b1053,c4011,d1683
a1900,b3712,c4009,d3072
a3696,b2923,c429,d3025
a4393,b519,c90,d3075
a1275,b3524,c3344,d1505
a3954,b500,c347,d2969
a3871,b223,c122,d3888
a1612,b315,c1956,d3509
a3890,b1581,c862,d2157
a3611,b2225,c1996,d670
a4109,b3146,c2752,d1423
a2679,b744,c3119,d4115
a2972,b3114,c2112,d584
a2633,b3413,c3189,d4309
a3609,b648,c2491,d3983
a1083,b3197,c2369,d360
a2561,b764,c3183,d4416
a2602,b995,c4146,d2294
a9,b3499,c2323,d4383
a2426,b2497,c639,d826
a1112,b2181,c2631,d38
a4464,b3626,c1140,d1009
a3575,b3045,c4181,d2684
a304,b3090,c906,d4337
a4346,b2042,c2180,d3252
a3298,b1067,c1061,d1751
a741,b2762,c2197,d3954
a2287,b2544,c964,d1958
a349,b3266,c55,d1
a627,b3537,c1226,d2517
a68,b3289,c3414,d3124
a54,b2990,c3350,d725
a2949,b2235,c102,d1972
a2501,b3186,c1209,d4076
a261,b2900,c2082,d1804
a3380,b914,c4450,d3473
a1830,b3694,c4261,d3377
a799,b1121,c2587,d2673
a2260,b1673,c3287,d1100
a1091,b946,c3092,d3264
a3902,b2169,c3284,d3476
a319,b3281,c4216,d2940
a4807,b3516,c2245,d849
a2618,b1094,c1609,d469
a1328,b2424,c3123,d175
a390,b3371,c4379,d2368
a917,b278,c3159,d4351
a244,b1525,c4441,d555
a4069,b3490,c1488,d2787
a4631,b171,c940,d1237
a1945,b3540,c1820,d2051
a2449,b2183,c590,d3046
a570,b1923,c1912,d1424
a2432,b2042,c1847,d145
a2938,b1320,c2776,d915
a916,b461,c1235,d1271
a637,b3627,c3787,d3693
a640,b3292,c2629,d1874
a922,b140,c1354,d1836
a4606,b1929,c378,d699
a1346,b2529,c4659,d1758
a4169,b2169,c3440,d2635
a28,b2355,c6,d3396
a719,b1589,c685,d2129
a1031,b2931,c3919,d1580
a2599,b1968,c2829,d3929
a2604,b2575,c2453,d2249
a3033,b3150,c161,d3934
a4583,b1572,c1494,d1653
a667,b19,c4719,d2826
a1176,b3647,c2243,d3045
a400,b225,c2230,d3853
a1830,b2106,c90,d1213
a3255,b547,c4685,d806
a2874,b3588,c4606,d1085
a1886,b134,c2549,d3505
a2581,b1471,c2351,d3203
a1796,b2015,c2419,d4015
a1978,b2113,c645,d1712
a2547,b753,c4366,d746
a3829,b3528,c2217,d3773
a1694,b2389,c895,d782
a394,b3381,c987,d440
a4540,b2480,c595,d2818
a2645,b1534,c2825,d1673
a4715,b813,c3313,d2774
a4334,b615,c3132,d2646
a2503,b2160,c1788,d3727
a326,b944,c3743,d2981
a1615,b3034,c1096,d3803
a1641,b1977,c536,d448
a3660,b2324,c367,d1873
a1004,b3052,c36,d2669
a4192,b2736,c998,d2456
a1447,b918,c737,d2925
a3409,b1878,c3932,d4272
a230,b3141,c4614,d2098
a3703,b2433,c3699,d1768
a1388,b687,c4190,d539
a2874,b2504,c812,d472
a1948,b2967,c1850,d232
a3054,b583,c1337,d2019
a2256,b968,c1231,d2065
a2321,b2910,c1367,d1950
a1423,b3415,c227,d3435
a2138,b2199,c273,d3147
a2312,b3479,c2083,d2267
a873,b2995,c3144,d3416
a2128,b2674,c3086,d3459
a3932,b3571,c650,d3339
a3354,b160,c4713,d3775
a3160,b1345,c194,d3551
a1422,b2829,c3762,d3111
a2457,b3091,c864,d1575
a2787,b1186,c3427,d702
a616,b2138,c3072,d2162
a3954,b1715,c4707,d1769
a4114,b794,c1517,d1996
a1378,b1605,c15,d503
a3026,b995,c73,d3166
a2598,b2644,c3187,d4149
a2792,b1173,c2348,d1782
a2081,b2068,c615,d2709
a2799,b634,c4301,d3029
a2936,b3761,c3506,d2118
a4389,b274,c1720,d3667
a1645,b547,c793,d663
a662,b2245,c32,d2610
a4145,b1286,c1654,d1680
a2666,b2424,c2668,d2054
a1601,b2863,c2857,d1049
a1708,b3192,c2375,d4102
a3506,b3233,c959,d3469
a4496,b3650,c4506,d2757
a2131,b3242,c3236,d2677
a2402,b1179,c1367,d4355
a3477,b2983,c1961,d4195
a4007,b1472,c3013,d250
a2164,b1043,c2265,d207
a373,b2990,c2670,d738
a4753,b2103,c930,d1547
a2392,b3088,c4416,d2695
a1210,b1821,c1266,d4399
a1585,b638,c3952,d3219
a2274,b1526,c1167,d491
a3313,b26,c358,d2208
a4888,b3694,c1656,d1422
a169,b2127,c4208,d2322
a2725,b2601,c327,d3159
a266,b327,c4648,d680
a523,b3640,c4726,d2553
a207,b3060,c1336,d3649
a1640,b958,c2931,d2241
a1431,b3288,c1785,d2516
a4693,b3116,c2859,d1954
a3675,b3207,c4326,d2371
a662,b2203,c1827,d3912
a4569,b1138,c4127,d3940
a2381,b953,c2570,d2559
a4803,b1459,c1238,d448
a3981,b629,c2225,d924
a337,b2069,c693,d4074
a893,b3341,c4607,d1595
a3221,b2880,c1696,d1887
a4717,b1267,c3894,d1677
a2499,b2675,c4142,d3190
a3138,b735,c2409,d85
a662,b1696,c4169,d4
a698,b2891,c2094,d3207
a2402,b2934,c1094,d850
a990,b2918,c3603,d42
a907,b3291,c2148,d3075
a3928,b906,c3700,d4095
a1577,b2586,c789,d1239
a1788,b3771,c2145,d1540
a15,b312,c3977,d3715
a3841,b2810,c2744,d3016
a2093,b3182,c4569,d2776
a1367,b496,c1527,d4356
a87,b2441,c1320,d1179
a1899,b1392,c744,d1718
a4738,b2703,c4061,d1666
a241,b141,c3054,d701
a1197,b1841,c3321,d4237
a2417,b661,c4754,d206
a4806,b215,c3159,d1516
a3538,b2751,c1064,d206
a4513,b2461,c4478,d4090
a2875,b3185,c1104,d3047
a4823,b1942,c2026,d1921
a448,b2783,c3795,d1740
a1201,b496,c1826,d4142
a3759,b3111,c3436,d2467
a2671,b198,c3637,d3029
a4118,b3093,c3600,d620
a1572,b2686,c4052,d3251
a3181,b3368,c2718,d3190
a2901,b122,c2521,d3317
a4251,b1298,c3292,d4311
a2875,b1627,c3909,d4291
a852,b1390,c4760,d3498
a1829,b2711,c4259,d205
a900,b3237,c1976,d4275
a4618,b3307,c3761,d3209
a1092,b1540,c4329,d2054
a928,b838,c129,d2676
a1498,b1897,c2104,d4011
a1416,b1143,c1900,d1028
a1933,b2993,c1091,d4023
a1418,b769,c2018,d1190
a3981,b1953,c4744,d253
a18,b3713,c4737,d3957
a2016,b1077,c816,d140
a2882,b589,c837,d832
a2255,b2425,c3620,d3112
a3270,b1804,c4326,d1980
a4530,b3649,c1562,d3668
a136,b360,c3526,d4292
a2199,b2047,c4492,d442
a4224,b2161,c3549,d689
a4585,b3489,c3707,d856
a2740,b112,c714,d1822
a2114,b2605,c2269,d2035
a4423,b2765,c556,d1177
a3735,b3267,c4696,d549
a4000,b3686,c4417,d2914
a4047,b237,c696,d1619
a4502,b202,c3298,d2988
a2644,b1821,c984,d3168
a1405,b3009,c4769,d1820
a2434,b1146,c4729,d2649
a2810,b2712,c323,d2436
a1266,b1891,c733,d3440
a4368,b2484,c2369,d3829
a1544,b895,c595,d4152
a3236,b2506,c1968,d4395
a2762,b219,c11,d1597
a2552,b2804,c2038,d3720
a1387,b492,c1019,d2763
a2733,b2249,c815,d4304
a1032,b1770,c4159,d2699
a4670,b1720,c2335,d572
a730,b2126,c346,d3485
a4650,b244,c1055,d4114
a3017,b3671,c885,d3553
a1176,b3576,c4088,d836
a1644,b1534,c552,d492
a458,b682,c3890,d61
a1225,b3491,c475,d893
a4776,b115,c391,d1223
a4456,b1843,c3372,d3839
a4145,b655,c4295,d2365
a2842,b509,c2401,d3826
a1308,b2873,c2514,d3790
a986,b694,c3970,d674
a1907,b2117,c1494,d116
a2751,b988,c3591,d1084
a3555,b1586,c4508,d194
a4028,b3641,c3687,d4331
a4013,b3518,c825,d3688
a3024,b1108,c102,d2879
a642,b875,c1670,d1529
a1102,b2006,c2233,d3589
a3959,b372,c1594,d1394
a629,b429,c2704,d2665
a2601,b375,c4120,d2889
a4765,b1988,c3314,d1465
a290,b1124,c1417,d1036
a2553,b2098,c728,d1650
a2601,b3693,c2238,d593
a1919,b2223,c455,d1801
a4493,b3087,c2944,d3115
a3020,b3341,c2672,d3819
a728,b760,c1055,d1719
a1440,b2145,c754,d310
a777,b874,c4242,d3495
a1244,b3733,c3893,d3767
a2391,b3290,c2368,d2883
a1542,b2896,c428,d3984
a3261,b734,c823,d2481
a3119,b592,c3699,d532
a1245,b2667,c206,d4390
a2258,b2371,c112,d2084
a3762,b2413,c367,d2635
a3266,b2796,c45,d1319
a378,b3061,c1508,d3747
a3570,b2926,c4386,d923
a2022,b2499,c4678,d1656
a2396,b3764,c399,d3899
a4237,b747,c4365,d2193
a598,b3738,c657,d874
a3344,b2622,c3848,d445
a4725,b307,c3842,d2059
a3848,b3051,c3499,d2923
a1277,b1633,c2936,d4025
a4018,b1197,c2866,d3248
a978,b1239,c2955,d442
a544,b2389,c4645,d4061
a4481,b584,c2188,d716
a2774,b2607,c1867,d678
a266,b3594,c466,d2978
a4322,b90,c3794,d3960
a118,b501,c1542,d2899
a3820,b136,c1716,d1585
a3328,b2745,c2498,d1098
a4451,b3752,c3614,d1819
a2231,b2693,c1281,d2653
a4468,b2003,c4058,d2290
a923,b3264,c348,d2078
a1529,b1038,c4269,d2318
a4717,b1237,c3605,d671
a3268,b2257,c2642,d3073
a12,b565,c688,d4217
a1841,b1889,c2107,d1612
a130,b526,c4169,d2710
a2588,b620,c3739,d4395
a1568,b3314,c2284,d1919
a2033,b3171,c4685,d4032
a956,b1042,c762,d1820
a2899,b3473,c1455,d2808
a3530,b3729,c675,d4288
a3423,b2199,c2449,d3804
a4011,b403,c2572,d953
a3923,b3300,c2383,d1256
a1152,b2216,c3583,d3967
a2948,b2112,c3076,d1524
a3645,b1725,c706,d1783
a3509,b999,c3670,d4246
a2112,b752,c1842,d888
a2480,b2078,c798,d2190
a1934,b1691,c3311,d3931
a493,b1720,c3357,d1481
a221,b1825,c257,d2208
a4161,b417,c4321,d4278
a466,b2795,c2195,d631
a4070,b1724,c3135,d1073
a3224,b2129,c3920,d1075
a4431,b157,c1857,d644
a1039,b2358,c4499,d4308
a2141,b3159,c31,d130
a2450,b1835,c1387,d2249
a4317,b871,c2802,d2403
a3069,b122,c537,d2963
a1440,b1254,c1472,d3439
a2706,b1655,c4529,d2412
a2098,b857,c212,d3237
a1135,b2107,c2752,d1682
a2462,b1486,c2324,d3053
a3723,b94,c3914,d1953
a14,b2931,c2190,d1186
a1720,b1177,c4505,d3426
a4647,b901,c4069,d3744
a38,b161,c3327,d1003
a3781,b338,c1948,d4018
a3596,b832,c3231,d4147
a3633,b2145,c1371,d431
a3535,b2703,c683,d793
a553,b3431,c2737,d2985
a554,b1504,c3400,d3785
a1095,b2109,c202,d1691
a3173,b3212,c1684,d4423
a656,b1427,c624,d1720
a3908,b546,c1278,d4337
a606,b693,c3387,d3851
a502,b760,c2452,d2498
a202,b1876,c3743,d2190
a164,b962,c351,d1106
a3792,b1102,c4340,d1436
a1509,b3210,c1004,d2659
a1190,b2274,c4602,d3571
a3937,b487,c3186,d4418
a1649,b858,c1297,d84
a3563,b862,c4374,d4112
a1206,b1667,c1616,d1261
a1741,b814,c3288,d1599
a582,b1670,c1934,d1161
a2538,b359,c4722,d3414
a1746,b110,c465,d2788
a4090,b647,c109,d2053
a1904,b332,c2598,d4082
a3248,b3643,c4689,d2176
a2251,b2686,c4469,d833
a1588,b991,c12,d627
a1726,b1057,c4009,d1325
a4813,b1232,c3142,d2441
a215,b696,c4580,d873
a4504,b1817,c4312,d1458
a1317,b12,c3950,d372
a683,b1550,c3719,d3484
a4110,b2081,c4050,d2166
a2140,b3239,c1267,d101
a296,b1929,c4626,d4382
a2494,b1262,c292,d1086
a3451,b3544,c3309,d2792
a3775,b44,c1687,d4089
a3830,b1254,c1965,d3827
a4023,b3088,c861,d1247
a3211,b242,c1101,d3511
a3873,b468,c4213,d1967
a2613,b1054,c4640,d3074
a131,b111,c4664,d2078
a2652,b1753,c703,d2065
a2611,b2729,c2410,d466
a769,b263,c4726,d3846
a4125,b2528,c342,d3309
a127,b3143,c2611,d3326
a4396,b825,c882,d1281
a3019,b3060,c4465,d83
a2239,b1573,c57,d2009
a4753,b1204,c1524,d2257
a498,b1430,c2325,d2243
a3876,b3262,c4710,d2121
a3943,b2291,c584,d3981
a1216,b1358,c3205,d2064
a3458,b2682,c2915,d4321
a2459,b2905,c4301,d2793
a2666,b3560,c48,d3732
a1300,b2914,c1313,d1089
a1912,b1999,c478,d1242
a3240,b1289,c4760,d1299
a892,b1984,c862,d1552
a1265,b110,c3157,d3389
a583,b1109,c843,d670
a2077,b1642,c3101,d2953
a2305,b2617,c4074,d2853
a3117,b3669,c373,d3269
a2890,b88,c3957,d221
a4134,b2956,c3261,d2522
a10,b234,c1226,d2509
a332,b1107,c4456,d861
a2245,b1026,c3428,d3036
a4121,b1553,c3328,d1619
a4006,b3597,c4253,d1293
a3869,b951,c2599,d3511
a3509,b2628,c3629,d890
a2265,b2136,c3160,d2713
a4684,b507,c544,d3749
a744,b2043,c4016,d3311
a4598,b1820,c2012,d788
a1858,b537,c2528,d3578
a57,b2665,c4740,d2794
a2619,b3524,c3202,d3745
a3045,b1794,c21,d4200
a1032,b3702,c2165,d1967
a238,b946,c3179,d237
a1781,b3664,c3611,d2597
a1585,b1014,c836,d3585
a2354,b380,c1049,d1958
a4234,b2174,c1189,d2820
a2140,b1060,c4444,d3903
a380,b3709,c924,d2674
a4566,b2952,c1509,d2263
a3717,b2440,c200,d3258
a4295,b3322,c2980,d854
a4064,b233,c243,d3051
a3903,b3439,c2043,d2901
a4819,b175,c2446,d447
a1830,b2047,c3811,d1829
a773,b2091,c335,d2666
a3335,b3600,c1153,d2282
a4132,b1220,c1032,d3860
a2663,b248,c2563,d2704
a3211,b2612,c4597,d3301
a3951,b3401,c3478,d2904
a3278,b3726,c1914,d1652
a1082,b2419,c1832,d4245
a4163,b3426,c3860,d2212
a3457,b3576,c1765,d1415
a108,b3380,c92,d1074
a3439,b3447,c1099,d447
a3380,b1725,c1875,d2490
a2457,b337,c1345,d2161
a4426,b2846,c3900,d856
a3504,b1050,c1845,d2689
a1603,b1148,c3165,d2726
a2334,b982,c2378,d649
a999,b3646,c3416,d918
a4027,b646,c2384,d250
a1139,b636,c1914,d3952
a4351,b2828,c2022,d579
a4627,b3242,c2858,d93
a3690,b3053,c1412,d2073
a2045,b1149,c1429,d1240
a2006,b969,c2757,d525
a4434,b3779,c1247,d4358
a1142,b266,c1223,d1735
a4007,b760,c2618,d1987
a684,b2436,c213,d1176
a239,b1489,c3733,d3654
a696,b2309,c2206,d23
a2831,b72,c4592,d3164
a1947,b153,c383,d91
a4240,b1848,c628,d2745
a946,b1719,c830,d2273
a4476,b2623,c3729,d497
a4420,b3740,c4578,d70
a225,b796,c2751,d3869
a2647,b3176,c1770,d2802
a4518,b3606,c3496,d2509
a3888,b2934,c3836,d3858
a2544,b1073,c3043,d1514
a3691,b3418,c2155,d1253
a250,b1791,c224,d1558
a2717,b2664,c3805,d4254
a477,b2332,c4343,d3194
a4471,b1859,c1419,d2193
a4684,b239,c2992,d1065
a3310,b2336,c2854,d4407
a818,b3206,c907,d409
a4551,b2370,c3601,d726
a1479,b655,c621,d229
a1181,b3113,c4602,d1919
a1112,b2543,c4437,d2516
a206,b779,c4240,d1352
a1306,b3446,c692,d3069
a4028,b1071,c4449,d1835
a2298,b3348,c2500,d3113
a1539,b3022,c2157,d1286
a1288,b972,c1240,d3703
a1395,b2967,c247,d4080
a3349,b2580,c3164,d890
a86,b225,c4385,d4093
a3365,b1235,c704,d125
a4397,b3316,c2177,d3051
a3659,b1862,c2407,d4000
a2405,b1705,c2774,d2305
a1059,b471,c2571,d3578
a3411,b201,c536,d4120
a2728,b1759,c2607,d4074
a3551,b2300,c2140,d4100
a945,b1637,c3301,d1588
a4258,b1067,c4707,d1865
a4625,b3262,c302,d3979
a3283,b3546,c1060,d1936
a4811,b1276,c4612,d4051
a162,b1604,c167,d1990
a1130,b486,c3696,d2201
a2597,b3156,c4199,d1508
a1301,b3002,c3787,d4010
a3768,b1520,c4407,d3596
a957,b393,c4156,d1799
a681,b324,c1836,d2476
a3509,b368,c3784,d2914
a1707,b2091,c4747,d3848
a2555,b1093,c3097,d1599
a2013,b526,c898,d282
a2477,b1561,c181,d4174
a2280,b1210,c1001,d3456
a4411,b3772,c4274,d4164
a1924,b2154,c1516,d712
a470,b1894,c1717,d1308
a1097,b48,c2320,d4213
a157,b3651,c693,d3486
a4810,b3096,c853,d3374
a2238,b1663,c2830,d3472
a1624,b343,c1226,d584
a832,b2969,c990,d1343
a3398,b1837,c1518,d2138
a2188,b1702,c113,d3454
a734,b3425,c3672,d117
a3479,b2251,c2558,d2737
a1811,b213,c1244,d1717
a3067,b2462,c2316,d2833
a3555,b2467,c3714,d2417
a483,b440,c1448,d333
a417,b1108,c2844,d2663
a4643,b430,c1808,d2247
a2178,b2112,c2796,d3008
a1170,b2849,c3919,d3700
a1123,b3535,c3762,d3627
a284,b3726,c3190,d1163
a3046,b2043,c50,d1667
a1222,b1017,c2537,d687
a4371,b3136,c3086,d3475
a3210,b810,c2224,d1714
a4498,b3370,c3205,d2283
a985,b46,c3717,d318
a3705,b1692,c2682,d3299
a2917,b3623,c890,d4393
a4513,b3033,c1895,d1642
a3610,b556,c1790,d1494
a605,b2758,c4731,d4324
a2155,b96,c293,d3072
a3487,b1302,c3885,d2275
a634,b375,c3534,d3144
a2034,b3158,c4573,d293
a4471,b730,c3342,d2132
a2108,b920,c1125,d390
a1705,b3663,c872,d9
a4188,b531,c4057,d2883
a4025,b1588,c1022,d1133
